Time,Mois_beans,Mois_Maize,Mois_Onion,Mois_Rice,Temp_beans,Temp_Maize,Temp_Onion,Temp_Rice,Temp_Surr,Humid_beans,Humid_Maize,Humid_Onion,Humid_Surr,water_level
2023-07-20,20.8,22.1,41.1,27,18,18,18,18,18,92,92,92,82,1
2023-07-20,17.7,18.9,38.9,27,18,18,18,18,18,92,92,92,82,0
2023-07-20,17.9,19.2,39.2,28,18,18,18,18,18,92,92,92,82,1
2023-07-20,17.8,18.8,38.9,28,18,18,18,18,18,92,92,92,80,0
2023-07-20,17.2,18,38.4,24,18,18,18,18,18,92,92,92,80,0
2023-07-20,17.2,18.2,38.6,26,18,18,18,18,18,92,92,92,80,1
2023-07-21,16.4,17.6,38.4,24,18,18,18,18,18,92,92,92,80,0
2023-07-21,17.2,18.6,38.8,25,18,18,18,18,18,92,92,92,80,0
2023-07-21,16.5,17.9,38.4,26,18,18,18,18,18,92,92,92,79,1
2023-07-21,15.9,17.3,38,25,18,18,18,18,18,92,92,92,79,1
2023-07-21,15.3,16.4,37.5,24,18,18,18,18,18,92,92,92,79,1
2023-07-21,15.3,16.5,37.7,24,18,18,18,18,17,92,92,92,79,1
2023-07-21,15.2,16.4,37.6,24,18,18,18,18,18,92,92,92,80,0
2023-07-21,26.2,27.8,39,104,18,18,18,18,18,92,92,92,80,0
2023-07-21,91.5,76.1,54.1,100,18,18.3,18,17,17,92,92,92,80,36
2023-07-21,89,66,52,101,18,18,18,18,18,92,92,92,81,32
2023-07-21,78.8,71.2,48,112,18,18,18,18,18,92,92,92,81,36
2023-07-21,84.3,71.1,48,112,18,18,18,18,18,92,92,92,81,34
2023-07-21,96,75.3,80.2,107,18,18,18,18,17,92,92,92,81,30
2023-07-21,94,75,79.2,98,18,18,18,17,17,92,92,92,81,32
2023-07-21,94,75,79,98,18,18,18,17,17,92,92,92,81,34
2023-07-21,93.4,74.9,79,98,18,18,18,18,18,92,92,92,82,37
2023-07-21,94.5,77.3,76.2,100,18,18,18,18,17,92,92,92,82,39
2023-07-21,94.1,76.5,77.9,102,18,18,18,17,17,92,92,92,82,33
2023-07-21,94,76.1,77.5,104,17,18,17,17,17,92,92,92,82,33
2023-07-21,93.4,76,77.3,107,17,18,17,17,17,92,92,92,82,37
2023-07-21,93,75.9,77.1,108,17,18,17,17,17,92,92,92,82,31
2023-07-21,93,75.7,77,109,17,18,17,17,17,92,92,92,82,34
2023-07-21,93,75.5,77,111,17,18,17,17,17,92,92,92,82,39
2023-07-21,92.9,75.3,77,112,17,18,17,17,17,92,92,92,82,37
2023-07-22,92.7,75.1,77,113,17,18,17,17,18,92,92,92,82,30
2023-07-22,92.7,75,77,113,17,18,17,17,18,92,92,92,82,32
2023-07-22,92.5,75,76.9,114,17,18,17,17,17,92,92,92,82,31
2023-07-22,92.3,75,76.9,115,17,18,17,17,18,92,92,92,82,38
2023-07-22,92.3,75,76.9,116,17,18,17,17,18,92,92,92,82,45
2023-07-22,92.5,75,76.9,117,17,18,17,17,18,92,92,92,82,14
2023-07-22,92.7,74.9,76.9,117,17,18,17,17,18,92,92,92,82,10
2023-07-22,92.7,74.9,76.9,117,18,18,18,17,18,92,92,92,82,13
2023-07-22,92.9,74.8,76.8,118,18,18,18,17,18,92,92,92,82,13
2023-07-22,93.9,74.7,76.7,118,18,18,18,18,18,92,92,92,80,44
2023-07-22,93,74.8,76.8,119,18,18,18,18,18,92,92,92,80,34
2023-07-22,93,74.9,76.9,119,18,18,18,17,18,92,92,92,80,39
2023-07-22,93,74.9,77,120,18,18,18,18,18,92,92,92,81,44
2023-07-22,93,74.8,76.9,120,18,18,18,18,18,92,92,92,81,22
2023-07-22,93,74.8,76.9,119,18,18,18,18,18,92,92,92,81,45
2023-07-22,93,74.6,76.5,119,18,18,18,18,18,92,92,92,81,17
2023-07-22,93.1,74.4,76.1,119,18,18,18,18,18,92,92,92,81,24
2023-07-22,93.7,74.5,76.3,120,18,18,18,18,18,92,92,92,81,24
2023-07-22,94,75.1,77,119,18,18,18,18,18,92,92,92,82,36
2023-07-22,94,75,76.5,119,18,18,18,18,18,92,92,92,82,29
2023-07-22,93.9,74.9,75.6,118,18,18,18,18,18,92,92,92,82,31
2023-07-22,94.7,76,76.1,111,18,18,18,18,18,92,92,92,82,29
2023-07-22,94.3,74.8,74.8,110,18,18,18,18,18,92,92,92,82,43
2023-07-22,95.2,75.4,75.6,102,18,18,18,18,18,92,92,92,82,37
2023-07-23,96.6,75.5,75.9,99,18,18,18,18,18,92,92,93,83,26
2023-07-23,99,75.3,75.8,100,18,18,18,18,18,92,92,93,83,30
2023-07-23,102,75.2,75.7,102,18,18,18,18,18,92,92,93,83,38
2023-07-23,105,75,75.7,102,18,18,18,18,18,92,92,93,84,44
2023-07-23,106,75.1,75.7,98,18,18,18,18,18,92,92,93,83,36
2023-07-23,107,75,75.5,99,18,18,18,18,18,92,92,92,83,38
2023-07-23,108,75,75.4,99,18,18,18,18,18,92,92,93,84,38
2023-07-23,109,75,75.4,100,18,18,18,18,18,92,92,92,84,43
2023-07-23,111,75,75.3,101,18,18,18,18,18,92,92,92,84,28
2023-07-23,113,75,75.2,101,18,18,18,18,18,92,92,92,84,45
2023-07-23,114,75,75.3,100,18,18,18,18,18,92,92,92,84,41
2023-07-23,90,72,73,97,18,17,18,18,18,92,92,92,84,20
2023-07-23,93,73,72,95,18,18,18,18,18,92,92,93,84,13
2023-07-23,95,73,73,90,18,17,18,18,18,92,92,93,84,10
2023-07-23,99,72,72,96,18,17,18,18,18,92,92,92,84,11
2023-07-23,100,72,73,94,18,18,18,18,18,92,92,93,84,12
2023-07-23,90,75.6,73.6,98,18,18,18,18,18,92,92,92,84,32
2023-07-23,89.1,74.3,72.7,90,18,18,18,18,18,92,92,92,84,23
2023-07-23,87.6,73,71.5,107,18,18,18,18,18,92,92,92,84,23
2023-07-23,87.5,73.1,71.6,105,18,18,18,18,18,92,92,92,84,40
2023-07-23,87,72.6,71.3,103,18,18,18,18,18,92,92,92,84,16
2023-07-23,86.5,72.4,71.1,103,18,18,18,18,18,92,92,92,83,45
2023-07-23,86.3,72.4,71.2,103,18,18,18,18,18,92,92,92,83,15
2023-07-23,86.9,73.4,72.2,100,18,18,18,18,18,92,92,92,83,32
2023-07-24,87.6,74,72.9,100,18,18,18,18,18,92,92,92,83,44
2023-07-24,88,74.2,73.3,103,18,18,18,18,18,92,92,92,83,19
2023-07-24,88,74.2,73.5,103,18,18,18,18,18,92,92,92,83,23
2023-07-24,87.9,74.4,73.7,104,18,18,18,18,18,92,92,92,82,25
2023-07-24,87.9,74.4,73.8,103,18,18,18,18,18,92,92,92,82,43
2023-07-24,87.8,74.3,73.8,102,18,18,18,18,18,92,92,92,82,22
2023-07-24,87.7,74.4,73.8,102,18,18,18,18,18,92,92,92,82,45
2023-07-24,87.6,74.5,73.8,102,18,18,18,18,18,92,92,92,82,18
2023-07-24,87.5,74.3,73.8,102,18,18,18,18,18,92,92,92,82,30
